,3,5,7,9,11,13,15,17,19
3,0.8074117316727614,0.8097794719243548,0.7970063160236739,0.8641522577019407,0.8623455259874877,0.8974591682152505,0.8959701580407551,0.8984720551717992,0.9131421011314705
5,0.8137505908253336,0.8554576204614373,0.8523310258567397,0.8968706921372338,0.9038289063296183,0.9057458393963225,0.9136300833658216,0.919236008279104,0.9256326526387391
7,0.8213590870692956,0.8605040948250642,0.9055148372625759,0.9083640595125445,0.9155147876779658,0.9173392898069546,0.929219962853918,0.93290173960559,0.9340833874499441
9,0.8614338588243575,0.896277344565213,0.8945367526456204,0.915219736536244,0.9345123507992608,0.9347680431492078,0.9422390231072268,0.9359590049474071,0.9405361953728735
11,0.857473381902575,0.9019132411826327,0.9139559440003632,0.9294460107085275,0.9280937991371037,0.9414948593392284,0.9473187071061451,0.9448439045812183,0.9494437818663994
13,0.8832467126200635,0.9017258878693417,0.9164755955947671,0.9324715009744453,0.9382060488368913,0.9449903875570271,0.945424998248372,0.9506399833267162,0.9499867364676019
15,0.8861241406161089,0.9166578545927617,0.9318554167109794,0.9342103976645448,0.9430483912156425,0.9456208495979398,0.951792713402306,0.9530916474920363,0.9552358123713806
17,0.8814915973652884,0.9157517060930622,0.9341449153536285,0.9360268214910963,0.9442950421378825,0.9484821719146028,0.9525563834813469,0.9559403831560289,0.9565182260708458
19,0.9073816566170567,0.9187004879543001,0.9332048917364641,0.9385511910475488,0.950230179906628,0.9533682365235496,0.954353326054382,0.9548459812784476,0.9587913999656941
